,CANDIDATE,DATE,TITLE,DESCRIPTION,PUBLISHER,CATEGORY,Related to the Candidate,pct_estimate,Title_Sentiment,Description_Sentiment,pct_estimate_normalized,Daily_Title_Sentiment,Daily_Description_Sentiment,Main_Topics,ABSA_Title,ABSA_Description,Daily_pct_estimate_evolution,Daily_Title_Sentiment_evolution
0,Biden,2023-05-01,"""Classic Moments From The Correspondents Dinner At The Famous White House""","At the Correspondents’ Dinner this Saturday at the famous White House, President of U.S Joe Biden cracked jokes about a variety of subjects, but he also adopted a somber demeanor as he demanded the discharge of American citizens who had been unjustly detained abroad. Thousands of people attended the yearly dinner at the Washington Hilton […]",Uj City News,Politics,Yes,67.08282379684792,99.45028500505104,95.97200537161542,100.0,64.06903077446374,28.718347660556432,classic moments,{},"{'demeanor': 'somber', 'citizens': 'american', 'dinner': 'yearly'}",0,0
1,Biden,2023-05-01,"""McCarthy says he'll invite Netanyahu to Washington if Biden doesn't ""","House Speaker Kevin McCarthy, R-Calif., on Sunday said he would invite Israel Prime Minister Benjamin Netanyahu to Washington if President Joe Biden doesn't.",Nbc News,Top,Yes,67.08282379684792,97.33154043931724,98.6549692998488,100.0,64.06903077446374,28.718347660556432,mccarthy netanyahu,{},{},0,0
2,Biden,2023-05-01,"""Treasury secretary says US could hit debt ceiling as soon as June 1""",President Joe Biden wants the cap raised without negotiation. The House Republican majority has most recently passed a bill to secure spending cuts in exchange for a debt limit increase.,Kcra,Top,Yes,67.08282379684792,97.89440656795618,60.75120648063725,100.0,64.06903077446374,28.718347660556432,treasury secretary,{},{'majority': 'republican'},0,0
3,Biden,2023-05-01,"""White House Correspondents’ Dinner: Roy Wood Jr. Talks About What Worked, What Got Left Out & Whether He’d Do The Gig Again""","Right up until he took the lectern at the White House Correspondents’ Association dinner this past weekend, Roy Wood Jr. was texting with his writers, making revisions. Gone from his set: a joke about Rupert Murdoch. Too close to a well-received joke just used by President Joe Biden. Added: A line about Anthony Fauci, inserted […]",Deadline,Top,Yes,67.08282379684792,95.57158608416202,99.99428856624738,100.0,64.06903077446374,28.718347660556432,white house,{},"{'weekend': 'past', 'joke': 'received'}",0,0
4,Biden,2023-05-01,"""President Biden invites top congressional leaders to debt ceiling meeting""","President Joe Biden has called the top four congressional leaders to a White House meeting on May 9 to discuss how to raise the debt ceiling, sources say.",Nbc News,Business,Yes,67.08282379684792,40.26120855926997,22.641401896506675,100.0,64.06903077446374,28.718347660556432,president biden,{'leaders': 'congressional'},{'leaders': 'congressional'},0,0
5,Biden,2023-05-01,"""Politics Podcast: Where Biden Stands Heading Into 2024 - FiveThirtyEight""","Politics Podcast: Where Biden Stands Heading Into 2024  FiveThirtyEightBiden Reelection Bid Prompts Concerns Among Many Democrats  Voice of America - VOA NewsSen. Bernie Sanders Predicts Joe Biden ‘Landslide’ In 2024 On 1 Condition  Yahoo NewsLaura Washington: Most Americans don't want Donald Trump or Joe Biden to run in 2024  Chicago TribuneBiden’s long road to 2024, get real on the budget and other commentary  New York Post View Full Coverage on Google News",Google News,Top,Yes,67.08282379684792,16.50911233557194,14.778992008413734,100.0,64.06903077446374,28.718347660556432,politics podcast,{},{'road': 'long'},0,0
6,Biden,2023-05-02,"""U.S. and Philippines Reassert ‘Ironclad’ Partnership Amid Rising China Tensions""",President Joe Biden hosted Philippines President Ferdinand Marcos Jr. for White House talks Monday amid mutual concerns about China.,Time,Top,Yes,66.47906734084455,72.46999830315673,13.598003722468771,90.95043843770608,51.45771252739863,6.90730045730804,u.s. philippines,{'tensions': 'rising'},{'concerns': 'mutual'},0,0
7,Biden,2023-05-02,"""Biden Vows To Defend Philippines In Case Of Attack From Xi Jinping Amid Escalating China Tensions""",President Joe Biden said the U.S. would intervene militarily in case of a potential attack on its ally amid rising tensions with Xi Jinping. read more,Benzinga,Top,Yes,66.47906734084455,89.16589502978091,26.692086928021723,90.95043843770608,51.45771252739863,6.90730045730804,biden philippines,{},"{'attack': 'potential', 'tensions': 'rising'}",0,0
8,Biden,2023-05-02,"""My Advice to Biden on Debt Ceiling Faceoff With GOP: Play Hard Ball""","If House Republicans refuse to raise the limit on the amount of money America may repay on what it owes — the deceptively named “debt limit” — they might force the United States to default, pushing interest rates into the stratosphere and shaking the world economy. President Biden rightfully says that raising the so-called debt ceiling should not be negotiable. After all, Democrats joined Republicans during the Trump administration to raise it three times, even as Trump and the Republicans enacted a major tax cut for big corporations and the wealthy that caused the nation’s debt to soar.Yet now, Kevin McCarthy and his band of Republican radicals are demanding that in return for their agreement to raise the debt ceiling, Biden and Democrats make drastic cuts in programs Americans rely on — in everything from from public safety to health care to education.My advice to Joe Biden: Ignore McCarthy and the Republican radicals. Mr. President, your oath to uphold the Constitution takes precedence. As the supreme law of the land, the Constitution has greater weight than the debt ceiling.My advice to Joe Biden: Ignore McCarthy and the Republican radicals. Section 4 of the Fourteenth Amendment to the Constitution states that “The validity of the public debt of the United States … shall not be questioned.”A debt ceiling that prevents the federal government from honoring its existing financial commitments violates the Constitution.So, if House Republicans refuse to raise the debt ceiling, you are obligated by the U.S. Constitution and your oath of office to ignore the debt ceiling and continue to pay the debts of the United States.Should they wish, let the radical Republicans take you to court. Even the Republican radicals on the Supreme Court will likely support you. No “originalist” interpretation of the Constitution could read that document differently. A debt ceiling that prevents the federal government from honoring its existing financial commitments violates the Constitution.The Constitution makes it clear that Congress’s power to borrow money does not include the power to default on such borrowing.The original intent of the drafters of the Constitution in 1787 was to give Congress the power to tax and borrow to pay debts and to provide for the common defense and public welfare. As Alexander Hamilton wrote in Federalist No. 30, the power to tax and borrow was established to ensure payment of debt or to prevent a default.The “Second Founders” who amended the Constitution after the Civil War explicitly forbade Congress, or anyone, from repudiating or defaulting on the debt.The Republicans want to lure you into a cynical game, Mr. President. The nation needs you to play hardball by ignoring them.",Common Dreams,Business,Yes,66.47906734084455,13.743544995185896,99.05585698569888,90.95043843770608,51.45771252739863,6.90730045730804,advice biden,{},"{'limit': 'named', 'ceiling': '”a', 'cut': 'major', 'corporations': 'big', 'radicals': 'republican', 'cuts': 'drastic', 'safety': 'public', 'weight': 'greater', 'debt': 'public', 'government': 'federal', 'commitments': 'financial', 'borrowing': 'such', 'intent': 'original', 'defense': 'common', 'welfare': 'public', 'game': 'cynical'}",0,0
9,Biden,2023-05-02,"""Debt ceiling talks restart as deadline moves""","Joe Biden schedules 9 May meeting with congressional leaders after warning US could default on debt as soon as 1 JuneSign up to receive First Thing – our daily briefing by emailFor those with questions, here is a Guardian explainer on the debt ceiling crisis and what will happen if it’s not raised, by the Guardian’s Lauren Aratani:… What is the debt ceiling?The debt ceiling is the limit on the amount of money the US government can borrow to pay for services, such as social security, Medicare and the military. Continue reading...",The Guardian,Top,Yes,66.47906734084455,91.9895954069875,81.10121222194249,90.95043843770608,51.45771252739863,6.90730045730804,debt ceiling,{},"{'leaders': 'congressional', 'briefing': 'daily', 'security': 'social'}",0,0
10,Biden,2023-05-03,"""Debt deadline: White House meeting set, but no solution yet""","Facing the risk of a government default as soon as June 1, President Joe Biden has invited the top four congressional leaders to a White House meeting for talks next week.",Kcra,Top,Yes,66.47906734084458,96.34990822925904,71.61196375700982,90.9504384377065,84.79578494385002,68.47990268930603,debt deadline,{},"{'leaders': 'congressional', 'week': 'next'}",1,1
