,CANDIDATE,DATE,TITLE,DESCRIPTION,PUBLISHER,CATEGORY,Related to the Candidate,pct_estimate,Title_Sentiment,Description_Sentiment,pct_estimate_normalized,Daily_Title_Sentiment,Daily_Description_Sentiment,Main_Topics,ABSA_Title,ABSA_Description,Daily_pct_estimate_evolution,Daily_Title_Sentiment_evolution
0,Christie,2023-03-16,"""Trump’s 2024 GOP Competition: Chris Christie Says He Will Announce A Decision On Running Before June""","Pence condemned his former boss for his role in the January 6 Capitol riot, marking one of the strongest rebukes of Trump by any of his potential challengers.",Forbes,Business,No,0.9600937047920995,96.15589908327244,6.190028858869033,10.640078432819342,96.08618658042789,2.4392807960942253,trump gop,{},"{'boss': 'former', 'rebukes': 'strongest', 'challengers': 'potential'}",0,0
1,Christie,2023-03-18,"""Reseeding the round of 32: Who moves up, who moves down?""",Sixty-eight teams have been cut down to 32. We've reranked the teams that move on to the second round.,Espn,Sports,No,0.9477091890934548,98.982012076821,99.55452230725516,10.243425121866863,99.14061190666844,99.55260941760852,round,{},{'round': 'second'},0,1
2,Christie,2023-03-19,"""Trump thrives on 'chaos and turmoil' when it's on his terms, Chris Christie, a former federal prosecutor, says. But an indictment 'never helps anybody.'""","Former New Jersey Gov. Chris Christie said on ABC's ""This Week"" that Donald Trump welcomes ""chaos and turmoil"" but only on his terms.",Business Insider,Top,Yes,0.9600181839941766,89.7947787557359,72.90847356102753,10.637659640250396,89.21117235557381,71.83665024745761,trump chaos,{'prosecutor': 'federal'},{},1,0
3,Christie,2023-03-25,"""College basketball coaching changes: Tracking hirings and firings""",,Deseret,Sports,No,0.6278836494426563,56.10530120680865,,0.0,75.00141601956513,93.18135249279575,college basketball,{'hirings': 'tracking'},{},0,0
4,Christie,2023-03-25,"""Georgia Republican Gov. Brian Kemp says he's not running for the White House in 2024, hasn't heard from Trump, and will keep 'an open mind' on the GOP presidential field""","Kemp, who's become a GOP star in his own right, told The Wall Street Journal he's not running for president in 2024. His backing could be critical.",Business Insider,Top,No,0.6278836494426563,97.18904674668022,93.42921300256631,0.0,75.00141601956513,93.18135249279575,georgia republican,"{'mind': 'open', 'field': 'presidential'}",{'right': 'own'},0,0
5,Christie,2023-03-26,"""2024 Watch: Chris Christie ‘trying to figure out’ if there’s a pathway to beating Trump, DeSantis""",Former New Jersey Gov. Chris Christie says he launch a 2024 Republican presidential campaign if he sees a pathway to victory over former President Trump and Florida Gov. Ron DeSantis.,Fox News,Top,Yes,0.6279014156867335,67.16062851541155,19.448172207837448,0.000569020194887,64.74848388918893,16.229774209645434,watch chris,{},{'campaign': 'presidential'},1,0
6,Christie,2023-03-27,"""The ‘Skull of Satoshi’ Proves Bitcoin Mining Discourse Isn’t Dead""",An artist made great art and learned about Bitcoin.,Coindesk,Top,No,0.7424734493557185,97.7238014980982,99.53752609833067,3.670101007007643,97.93456411943502,99.06053078505286,skull satoshi,{},{'art': 'great'},1,1
7,Christie,2023-03-27,"""Trump’s Latest Dance Partner: Everyone Trying to Indict Him""","Trump is harnessing the potential criminal charges he's facing into rallying cries for his campaign. So far, it's working.",Time,Top,No,0.7424734493557185,98.0084265182743,98.6253523633462,3.670101007007643,97.93456411943502,99.06053078505286,trump latest,{},"{'charges': 'criminal', 'cries': 'rallying'}",1,1
8,Christie,2023-03-28,"""Chris Christie Warns: 'It's Not Gonna End Nicely' For Donald Trump""","""His end will not be a calm and quiet conclusion,"" the former Trump ally predicted.",Huffpost,Politics,No,0.7442072495225087,99.1376656369131,95.64334896841028,3.7256314446462,99.30884020367927,95.48439196446158,chris christie,{},"{'conclusion': 'calm', 'ally': 'former'}",1,1
9,Christie,2023-03-29,"""Chris Christie Says There's 'No Way' He'd Back Donald Trump In 2024""","“I can’t help him,” said Christie, a onetime Trump ally and potential 2024 GOP presidential candidate himself.",Huffpost,Politics,No,0.7456849865159636,99.75898765001656,94.01747798745753,3.772960648745394,99.59757887810912,96.78178857451468,chris christie,{},"{'ally': 'onetime', 'candidate': 'presidential'}",1,1
10,Christie,2023-03-29,"""Disney has 30 major movies coming out in 2023 &mdash; here they all are""",Walt Disney Studios is releasing three Marvel sequels in theaters with plenty more films heading straight to Disney+ and Hulu.,Insider,Top,No,0.7456849865159636,99.0506556677387,99.76384718578188,3.772960648745394,99.59757887810912,96.78178857451468,disney movies,{'movies': 'major'},{'films': 'more'},1,1
11,Christie,2023-03-30,"""10 Best Movies Based on Games and Where to Watch Them""","Video games, board games, party games — time to hit play! About 4,600 years ago, the Mesopotamians spent their downtime playing what we now call ""The Royal Game of Ur"" — basically, the ancient antecedent to backgammon. Cut to today, and I'm sure somewhere in Hollywood there's a movie script lying around that's turned Ur's little dotted playing discs into wisecracking …",Mashable,Entertainment,No,0.74694595744006,99.77716258719688,61.559622844435786,3.8133472334313314,100.0,60.03211269350879,best movies,{},{'antecedent': 'ancient'},1,1
12,Christie,2023-03-31,"""Ivanka Had Plenty of Chances to Break With Daddy Trump—It’s Too Late Now""","Photo Illustration by Elizabeth Brockway/The Daily Beast/ReutersGet more news and opinions in the twice-daily Beast Digest newsletter. Don’t miss the next big story, sign up here.Never mind the question of illegality. The indictment of Donald Trump is yet another reminder that today’s Republican Party has embraced a man who allegedly had sex with a porn star while his wife was pregnant.I say “allegedly,” because almost nobody, save for Trump, is arguing that Trump didn’t have sex with Stormy Daniels. But that’s just one data point. Whether it was his Access Hollywood comments, the so-called “Muslim ban,” or his comments about “the very fine” attendees of the “Unite the Right” rally in Charlottesville, Virginia, it has long been obvious to anyone paying attention that Trump is a bad person.Read more at The Daily Beast.",The Daily Beast,Top,No,1.2977602729344648,97.23481312898114,99.9846424122034,21.45491895712717,97.2522625276997,100.0,ivanka plenty,{},"{'news': 'more', 'newsletter': 'daily', 'story': 'big', 'ban': 'muslim', 'attendees': 'fine', 'person': 'bad'}",1,0
