,CANDIDATE,DATE,TITLE,DESCRIPTION,PUBLISHER,CATEGORY,Related to the Candidate,pct_estimate,Title_Sentiment,Description_Sentiment,pct_estimate_normalized,Daily_Title_Sentiment,Daily_Description_Sentiment,Main_Topics,ABSA_Title,ABSA_Description,Daily_pct_estimate_evolution,Daily_Title_Sentiment_evolution
0,Trump,2023-03-16,"""Georgia grand jury hears previously unreported Trump call""","A special grand jury that investigated whether Donald Trump and his allies illegally meddled in the 2020 election in Georgia heard a recording of the former president pushing a top state lawmaker to call a special session to overturn his loss in the state, according to a newspaper report.","The Washington Times , America’s Newspaper",Top,Yes,44.931688075213735,97.92613839949242,99.07461363619558,8.623452961501089,0.0,86.65545972346959,georgia jury,{'jury': 'grand'},"{'jury': 'grand', 'president': 'former', 'lawmaker': 'top', 'session': 'special'}",0,0
1,Trump,2023-03-16,"""‘Swarm’: How Beyoncé’s Fan Army Inspired the Wildest Show of the Year""","Courtesy of Prime VideoNo group on Al Gore’s internet is more mystifying than pop-music stans. Whether they’re using their collective powers for good (like when K-Pop stans sank a Donald Trump rally in 2020) or pure evil (like when Swifties harassed the young star of a Netflix show over a scripted joke), their presence on social media and in the larger music landscape has become inescapable, overwhelming, and a bit terrifying, to say the least. Still, there hasn’t been much representation of what these people’s lives look like away from their computer screens.Swarm, on Prime Video this Friday, is maybe (hopefully) more of the Tarantino-esque nightmare we imagine to be a pop stan’s day-to-day life than what normally occurs in reality. Co-created by Janine Nabers and Donald Glover, the series follows a young Black woman named Dre (Dominique Fishback), whose obsession with a Beyoncé-esque superstar named Ni’Jah takes her down a shocking and disturbing path. The less details viewers know going into the series the better, as it features a number of disorienting and weirdly delightful surprises. That said, it will certainly leave fans of the psychosexual thriller genre feeling fed.It’s not surprising that the pitch for a TV show so twisted but also grounded in truth came from Glover’s brain. Arguably since his 2010 mixtape Culdesac, Glover’s larger-than-life rap persona Childish Gambino has spurred an online cult of its own. The multihyphenate brought the idea for Swarm to Nabers, who executive produced and wrote on the last two seasons of his FX series Atlanta. And it hardly seems like much of a coincidence that the show is heavily inspired by Beyoncé’s ardent fanbase called the BeyHive, given that Nabers is from Houston.Read more at The Daily Beast.",The Daily Beast,Top,Yes,44.931688075213735,10.14083576648733,97.36229524346324,8.623452961501089,0.0,86.65545972346959,swarm beyoncé,{},"{'music': 'larger', 'powers': 'collective', 'evil': 'pure', 'star': 'young', 'joke': 'scripted', 'media': 'social', 'representation': 'much', 'nightmare': 'esque', 'woman': 'black', 'superstar': 'esque', 'path': 'shocking', 'details': 'less', 'surprises': 'disorienting', 'genre': 'psychosexual', 'pitch': 'twisted', 'persona': 'larger', 'cult': 'online', 'seasons': 'last', 'fanbase': 'ardent'}",0,0
2,Trump,2023-03-16,"""The GOP Campaign Trail Is Already Getting DeSantis-Proofed""","Photo Illustration by Luis G. Rendon/The Daily Beast/Reuters/PixabayAt any given fundraiser or VIP room where he’s present, Ron DeSantis is usually easy to find—in the corner, keeping to himself.Despite having a job that entails exchanging small talk and pleasantries on a daily basis, the Florida governor tends to brush off those obligations and struggles with basic social skills, according to a source close to DeSantis, several of his former staffers, and other GOP operatives who have worked with him and his team.As DeSantis gears up for a potential White House run in 2024, his aloof public persona is being thought of by his rivals—namely, former President Donald Trump—as his Achilles heel in the retail politics-heavy early primary states.Read more at The Daily Beast.Got a tip? Send it to The Daily Beast here",The Daily Beast,Top,Yes,44.931688075213735,27.07787694550471,99.44448910243092,8.623452961501089,0.0,86.65545972346959,gop campaign,{},"{'fundraiser': 'given', 'talk': 'small', 'basis': 'daily', 'skills': 'social', 'source': 'close', 'staffers': 'former', 'operatives': 'other', 'persona': 'public', 'states': 'primary'}",0,0
3,Trump,2023-03-16,"""Report: Investigators have another recording of a Trump phone call pressuring an official""",CNN's Paula Reid breaks down the Atlanta Journal-Constitution report that Fulton County investigators have an audio recording of a phone call that former President Donald Trump made to the Georgia House speaker to push for a special session to overturn Democrat Joe Biden's 2020 victory in the state.,Cnn,Top,Yes,44.931688075213735,99.36369748945252,99.25091064525282,8.623452961501089,0.0,86.65545972346959,report investigators,{},"{'recording': 'audio', 'session': 'special'}",0,0
4,Trump,2023-03-16,"""Trump maintains front-runner status over DeSantis in new poll of GOP primary voters""","Former President Donald Trump remains the front-runner of the emerging GOP presidential primary field and maintains a double-digit lead over Florida Gov. Ron DeSantis, who hasn't launched a 2024 campaign but is considered the ex-president's main rival, according to a new poll.","The Washington Times , America’s Newspaper",Top,Yes,44.931688075213735,42.625602793606966,98.62359050052277,8.623452961501089,0.0,86.65545972346959,trump runner,"{'runner': 'front', 'poll': 'new', 'voters': 'primary'}","{'runner': 'front', 'field': 'primary', 'digit': 'double', 'rival': 'main', 'poll': 'new'}",0,0
5,Trump,2023-03-16,"""Donald Trump: Queen Elizabeth and Princess Diana 'kissed my a**'""","Donald Trump has claimed the late Queen Elizabeth and Princess Diana ""kissed [his] ass."" The former US president is releasing a collection of correspondence, 'Letters to Trump', which features 150 notes from figures around the world, including the British royals, former US presidents Ri...",Castanet,Entertainment,Yes,44.931688075213735,48.9636594286322,56.21051594604181,8.623452961501089,0.0,86.65545972346959,donald trump,{},"{'president': 'former', 'royals': 'british'}",0,0
6,Trump,2023-03-16,"""Don't Look Now, But the Far Right May Be Trying to Steal the Future""","If you're a well-informed Republican leader, you know you have a problem. The extreme right-wing, which is really the only right-wing that exists these days, is losing the future. Baby boomers may still love them, but millennials and Generation Zers largely reject their agenda. Year by year, as more boomers disappear, Gen Zers, the age group Republicans do by far the worst with, are not only coming of age, but also voting in greater numbers than many expected. Meanwhile, while the data is somewhat mixed, recent evidence suggests millennials may actually be growing even less conservative as they age. So, what's a political party facing this reality supposed to do? They could try making themselves more attractive to young voters. But for that to be successful they would have to be willing to alter their positions on the social and cultural issues that have made them a pariah to the young. And that is something their base, voters they can't afford to lose, will never allow. Talk of a more moderate GOP is a pipe dream. The hate-based politics the party embraced in supporting Donald Trump (and embraced well before that in their racist southern strategy) has become a trap. The GOP is now inexorably affixed to a policy agenda that is anathema to young voters. Think about how you would proceed if you had almost limitless resources and wanted to change the political vision of future voters. But before we are foolhardy enough to count the GOP out, we need to remember the secret sauce that fuels its successes—the money: billions of dollars tossed their way, spare change from America's increasingly wealthy plutocratic class. By far the most important thing this lucre has provided right-wing politics is a series of decades-long crusades designed to fundamentally change the nation's courts and educational system, destroy unions, end, or drastically curtail, government programs such as Social Security, Medicare, and Medicaid, and drastically reduce the share of the tax burden assessed to the wealthy. Taken together, these interlocking crusades have already changed America in profound and troubling ways. All of these projects share one important characteristic—a commitment to playing the long game. This isn't about winning one election, though there is money enough to fight those battles as well. No, this is nothing less than a decades-long effort by American plutocrats to change this nation in fundamental ways. Probably the best known of these long-term-conservative projects has been the effort to remake the nation's judiciary, spearheaded by The Federalist Society. The extent of the far-right's victory in this decades-old project was demonstrated, in devastating fashion, when the Court announced the Dobbs decision, overruling Roe v. Wade. We are discussing here, however, a different crusade—but one with the potential to be every bit as impactful. As we have seen, the right is losing the future politically. They are also extremely unlikely to modify their positions enough to win over young voters. They are not, however, without remedy. They may not be able to win the future, but that doesn't mean they won't try to steal it. Audacious political thievery is, after all, one of the GOP's modern-calling cards. Year after year, they've been stealing elections through vote suppression and extreme gerrymandering. In 2020, they came within a whisker of successfully stealing the presidency through a multi-headed conspiracy of fake electors, efforts to suppress the vote count, false accusations of election fraud, a violent insurrection and, most remarkably, through the act of 147 Republican members of Congress in voting to overturn the will of the American people in a presidential election. But how do you steal the future? If you're playing the long game, and you don't like the voters the future is likely to produce, you can try growing different ones. What follows includes speculation. But it's informed speculation that makes sense based upon established fact. Think about how you would proceed if you had almost limitless resources and wanted to change the political vision of future voters. You would want to gain control of the institutions that will influence their worldview. And if we set aside parents and friends, the biggest such influence is their schools. And, sure enough, a right-wing effort to seize control of education in America is underway. Step one is the destruction of the public school system. Destroying public education advances a number of right-wing goals, including damaging public unions and decreasing the role of government. Ginning up fake controversies about CRT and teaching children about slavery, in addition to becoming GOP talking points, play into the picture they are trying to paint of public schools as scary places where liberals are trying to brainwash their children. But it will also redirect students to private academies, many of which are operated by conservative-religious organizations and for-profit corporations, most of which will be happy to push conservative views. And these institutions can be expected to explode in size and number as more public money becomes available to private schools. When viewed from this perspective, actions of the political right that were previously bewildering start to make sense. The list is long—advocating public funding of private schools while starving the public school system, supporting private charter schools, book banning in schools, shoveling massive amounts of cash to right wing-candidates in local school board races, overstating deficiencies in public education, disruption of school board meetings, politically motivated criticism of individual public school teachers, a fake dispute over Critical Race Theory, increased corporatization of public schools and universities, and complaints over teaching history on topics “likely to disturb children,” such as slavery. If we lose this battle and comprehensive public education is allowed to wither and die, America is unlikely to ever see it here again. The pattern is inescapable. Public funding of private schools, including charter schools, doesn't just pump money into right-wing-educational academies. It also takes funding away from public schools, thereby degrading their quality. Ginning up fake controversies about CRT and teaching children about slavery, in addition to becoming GOP talking points, play into the picture they are trying to paint of public schools as scary places where liberals are trying to brainwash their children. Similarly, the constant disparagement of the quality of public education works to reduce its public support, while the growing trend of corporatizing public schools bolsters the goal of limiting teaching to vocational skills, while undercutting the traditional role of the public school in providing future governing generations with the knowledge they need to grow into informed citizens of a democracy. Right-wing billionaires dump big money into school board races in order to elect people that favor privatizing public schools, and on and on. Public education is under attack, and we have a good idea why. If we lose this battle and comprehensive public education is allowed to wither and die, America is unlikely to ever see it here again. It's time to start defending the public school system as though the future depends on it, because it does.",Common Dreams,Business,Yes,44.931688075213735,0.3365020079109607,99.78126862764792,8.623452961501089,0.0,86.65545972346959,future,{},"{'leader': 'republican', 'wing': 'right', 'boomers': 'more', 'numbers': 'greater', 'evidence': 'recent', 'party': 'political', 'voters': 'future', 'issues': 'social', 'politics': 'based', 'strategy': 'southern', 'resources': 'limitless', 'vision': 'political', 'sauce': 'secret', 'change': 'spare', 'class': 'plutocratic', 'thing': 'important', 'crusades': 'interlocking', 'system': 'educational', 'ways': 'fundamental', 'characteristic': 'important', 'game': 'long', 'money': 'big', 'effort': 'wing', 'plutocrats': 'american', 'term': 'long', 'projects': 'conservative', 'right': 'political', 'project': 'old', 'fashion': 'devastating', 'crusade': 'different', 'thievery': 'political', 'calling': 'modern', 'gerrymandering': 'extreme', 'conspiracy': 'headed', 'electors': 'fake', 'accusations': 'false', 'insurrection': 'violent', 'members': 'republican', 'people': 'american', 'election': 'presidential', 'ones': 'different', 'speculation': 'informed', 'fact': 'established', 'influence': 'such', 'school': 'public', 'education': 'public', 'unions': 'public', 'controversies': 'fake', 'schools': 'public', 'places': 'scary', 'academies': 'educational', 'organizations': 'religious', 'views': 'conservative', 'funding': 'public', 'corporatization': 'increased', 'amounts': 'massive', 'candidates': 'right', 'races': 'local', 'criticism': 'motivated', 'teachers': 'individual', 'dispute': 'fake', 'complaints': 'likely', 'disparagement': 'constant', 'support': 'public', 'trend': 'growing', 'skills': 'vocational', 'role': 'traditional', 'generations': 'future', 'citizens': 'informed', 'idea': 'good'}",0,0
7,Trump,2023-03-16,"""Trump Ramps Up DeSantis Attacks: Allies Prepare Ethics Complaint And Look For Dirt On Florida Governor""","Former President Donald Trump and his allies are turning up the heat on Florida Gov. Ron DeSantis, preparing an ethics complaint against DeSantis as both potential presidential nominees have increased their political activity in recent weeks.",Forbes,Business,Yes,44.931688075213735,88.26998190083987,98.78115103270068,8.623452961501089,0.0,86.65545972346959,trump ramps,{},"{'nominees': 'presidential', 'activity': 'political', 'weeks': 'recent'}",0,0
8,Trump,2023-03-16,"""Michael Cohen Predicts Trump Indictment Is ‘Imminent’—And Slams Trump Lawyers For Attacking His Credibility""","Former President Donald Trump’s ex-lawyer and fixer Michael Cohen believes an indictment against Trump in connection with hush-money payments made to adult film star Stormy Daniels is “imminent,” he said Thursday.",Forbes,Business,Yes,44.931688075213735,96.41293462159832,98.90495966827248,8.623452961501089,0.0,86.65545972346959,trump michael,{},{'money': 'hush'},0,0
9,Trump,2023-03-16,"""Haberman on how Trump team is preparing for potential indictment""",CNN political analyst Maggie Haberman discusses how Donald Trump and his team may react to a potential indictment from the Manhattan district attorney.,Cnn,Top,Yes,44.931688075213735,55.648937582043295,76.15463091525841,8.623452961501089,0.0,86.65545972346959,haberman trump,{'indictment': 'potential'},"{'analyst': 'political', 'indictment': 'potential'}",0,0
